,0
184l,5.148951787265258
185l,5.0385377010612205
186l,5.3880375749818175
187l,4.613765908230799
188l,4.822352273332099
1a28,7.788894402834518
1a4k,6.808213826980025
1a4r,6.062042394256873
1a4w,5.94944490654393
1a94,6.81267505870317
1a99,3.2051963430620036
1a9m,6.363450428022419
1a9q,4.470545890849716
1aaq,6.683526667096681
1add,6.448691570063963
1adl,4.659146945070854
1ado,3.918727969182311
1afk,4.380837221838004
1afl,4.318040384110726
1ai4,4.743523889590614
1ai7,4.2413198589138785
1aid,6.1347881704310225
1ajn,4.433545226740139
1ajv,8.885697105262555
1ajx,8.554041808498589
1alw,4.444033458015254
1amw,4.591850404666406
1apv,6.220490963920871
1atl,4.677284950685914
1atr,6.6658440176829
1azm,3.2092305471954674
1b05,5.81017585614124
1b0h,7.781807353631178
1b1h,6.986055254832197
1b32,5.789633066163657
1b38,6.470462632682788
1b3f,5.809100418108262
1b3g,6.041748616272617
1b3h,6.609193089729126
1b3l,5.464399970570285
1b40,7.092333014006631
1b46,5.383832000234968
1b4h,5.587209747897198
1b4z,5.5359136270077896
1b51,5.528209643596265
1b52,5.620283227072691
1b57,3.1336228817777863
1b58,6.779929981580675
1b5h,5.305090351008014
1b5i,5.831279272839754
1b5j,6.504659113979872
1b6h,5.329050410910874
1b6j,7.556844602873227
1b6k,7.63567228714282
1b6l,6.576848110528493
1b8n,7.465563521049719
1b8y,7.983654656795095
1bai,6.148945481512308
1bcd,3.622468398273179
1bdq,7.237928088194853
1bgq,6.2982442593653225
1bhf,3.0192777635442614
1bhx,5.966322463810745
1bju,5.632114444379233
1bjv,6.344396813701557
1bm7,6.293662019004972
1bn1,5.265922722978979
1bn3,5.032634158298075
1bn4,4.980816231377706
1bnn,4.827041183155884
1bnq,4.277050981540623
1bnt,5.208299878832148
1bnu,5.241726941048727
1bnv,4.747851871918453
1bnw,4.83079315038118
1bp0,5.092610725359359
1bq4,4.302672986657374
1br6,6.691260727799535
1bty,4.586566593999013
1bv7,8.035168663178663
1bv9,5.614522726311331
1bwa,8.666879914542161
1bwb,7.2097820387581
1bxq,6.042234049765226
1bxr,7.56088055568642
1bzy,7.208071130511816
1c1r,6.003005567681642
1c1u,6.439366910280138
1c1v,7.302520120531327
1c3x,3.3334969747361547
1c4u,6.3583498789905635
1c5c,6.331422309588574
1c5n,5.065675112030619
1c5o,4.366659276335923
1c5p,4.9184932858568295
1c5q,5.630645203671414
1c5s,5.113234654076341
1c5t,5.399741488404131
1c5x,5.086356397442693
1c5y,5.482088915231087
1c70,7.209191684481787
1c83,4.299258514619661
1c86,3.7315360010863343
1c87,3.929116175976961
1c88,2.579074396714454
1cbx,4.971032718033144
1ceb,4.5577462536589834
1cet,4.625881111125236
1cgl,5.745659366769033
1ciz,6.850925679082621
1cnw,4.219942598969893
1cnx,4.172959771498605
1cny,4.6197215616498495
1ctt,5.997791704203386
1ctu,6.40606785141968
1d2e,5.7206207212096825
1d3d,7.207725591397479
1d3p,7.171994468770735
1d4h,8.861264552097074
1d4i,8.615443549538535
1d4j,9.266075515563532
1d4k,7.539276666849632
1d4l,6.838610776963199
1d4p,7.550073714964785
1d4y,8.362096928900767
1d6v,8.187252738103107
1d6w,6.117581161903374
1d7i,1.9016979480550331
1d9i,5.829651951484486
1dar,5.971760857766131
1dgm,4.160309822343217
1dhj,6.034988919914437
1dif,7.384625530083871
1dl7,4.908170129948077
1dmp,9.283405631144062
1dqn,6.572665268618113
1drj,5.323854034229902
1drk,4.796369340719403
1dud,5.424111089099387
1duv,5.528349887710483
1dy4,6.908175354975407
1dzk,4.258688095712488
1e1x,4.984540569463295
1e2k,6.916306715712558
1e2l,6.499885218321286
1e3g,7.210114987378392
1e4h,4.69379458573787
1e5j,4.275495705790167
1e6q,4.316872266052141
1e6s,5.050561273137888
1eb2,6.96183883848115
1ebw,7.551689495033846
1ebz,7.844205842116322
1ec0,9.37086200066557
1ec1,7.981966831121223
1ec2,8.104612932025558
1ec3,7.530764793403575
1ec9,4.482214480941515
1ecq,3.9293162249378923
1ecv,3.9883831288044522
1efy,6.949206376123046
1ejn,6.268676883045311
1elc,4.696974384956029
1eld,5.043423861958371
1ele,4.623301808525817
1elr,2.4864550502947877
1enu,6.129723993937519
1eoc,4.619028385005505
1epo,6.635813590970804
1erb,6.676516559801391
1ew9,2.040263854338926
1ex8,9.16132820088741
1ez9,4.65688974927741
1ezq,7.666930287024267
1f0r,7.572203606663884
1f0s,7.035067250260344
1f0t,7.107568211272515
1f0u,6.834446121321995
1f3e,5.837754633874091
1f4x,4.394496508932637
1f57,2.505399372132622
1f5l,5.622188238768832
1f73,4.123673932824988
1f74,4.204116347955804
1f8e,4.205536625631226
1fao,3.4180624269306388
1fch,4.107141215200618
1fcy,10.978718452139928
1fhd,6.15258203587553
1fiv,8.501221888093836
1fjs,6.458926242778458
1fkf,4.505151213467305
1fkg,6.126685488041417
1fkh,4.522687323519842
1fkw,6.20633645072715
1fl3,7.832696731615755
1fm9,9.356680907539976
1fpc,5.723194078298025
1fq5,6.025735606263533
1ft7,3.409133318501382
1fv0,6.2134955455353005
1fzj,4.780195452175303
1fzm,6.626096527455922
1fzo,5.866707524137537
1fzq,5.254261127606092
1g1d,5.33751367106048
1g2l,7.654295026778597
1g2o,7.711387321495826
1g30,6.952460319361689
1g32,7.8962801254848785
1g35,7.600598668093962
1g36,7.607969702885196
1g3d,4.971932938357335
1g3e,5.244256231407913
1g45,5.628037922196341
1g46,5.345273262487369
1g48,5.486674652950895
1g4o,4.779679241919474
1g52,5.57280552323826
1g53,5.513786183460313
