,0
184l,4.373764744965736
185l,4.240578743463835
186l,4.81692082413335
187l,3.9589388770241194
188l,4.045823031907028
1a28,6.632981507001754
1a4k,5.574728227458711
1a4r,5.342303234889433
1a4w,5.395869439341883
1a94,5.738444244262384
1a99,1.5205612941175517
1a9m,5.919825244700039
1a9q,3.8725544306893362
1aaq,6.0935273902538665
1add,5.257656888770711
1adl,4.150404915651909
1ado,2.712440844269354
1afk,3.3993384999423752
1afl,3.597853844362281
1ai4,3.696139995442743
1ai7,3.859447629240011
1aid,5.332118644362359
1ajn,2.220101997566663
1ajv,7.4305340998809974
1ajx,7.872743395963128
1alw,3.428227615856124
1amw,3.2993461689535777
1apv,5.237598343183523
1atl,3.9589103210841534
1atr,5.407431132641883
1azm,2.081091692017221
1b05,4.660938432479026
1b0h,6.352247103317027
1b1h,6.112984932105195
1b32,4.874511752377023
1b38,5.144657816758137
1b3f,5.236871994084728
1b3g,5.158043173173311
1b3h,5.751434614729436
1b3l,4.880368010840311
1b40,5.802642963554343
1b46,5.383832000234968
1b4h,4.862878625510117
1b4z,5.287020194166415
1b51,5.215038357876288
1b52,4.7368268834007
1b57,2.1616157159601572
1b58,6.263032611196567
1b5h,4.606519379436227
1b5i,5.2553898129368015
1b5j,5.372385579902666
1b6h,4.8882266125134235
1b6j,6.35402169418402
1b6k,6.655276181125995
1b6l,5.223232054882234
1b8n,6.664529010527129
1b8y,7.000261995260472
1bai,5.736356827783773
1bcd,2.3123682760771462
1bdq,6.425334192629504
1bgq,5.3637176920123135
1bhf,2.4397934203160156
1bhx,4.654127123324344
1bju,4.082449227910629
1bjv,4.94471862662529
1bm7,5.120155333890317
1bn1,4.4979308798950655
1bn3,4.332537026493311
1bn4,4.2909644567205785
1bnn,4.207063292981326
1bnq,3.436567812669842
1bnt,4.40811336753491
1bnu,4.489420642845092
1bnv,4.062440537182498
1bnw,4.106728789086669
1bp0,4.452946321209835
1bq4,3.6766580595092035
1br6,5.132963451127141
1bty,1.9610448745640532
1bv7,6.94953023160875
1bv9,4.3000480610038405
1bwa,6.094018780915417
1bwb,5.404023550402302
1bxq,5.0954144010547315
1bxr,6.614970989853784
1bzy,7.208071130511816
1c1r,5.023125047776497
1c1u,4.984622127885828
1c1v,5.416495361553755
1c3x,2.8495096927226498
1c4u,5.329930101735052
1c5c,5.304705691430039
1c5n,3.678952021293937
1c5o,3.0177466195740568
1c5p,2.9891932474070915
1c5q,3.3663692828812235
1c5s,3.4359466991171046
1c5t,3.6389095657880755
1c5x,2.550501724645433
1c5y,2.5312346870315783
1c70,6.204629774285806
1c83,3.402631340720862
1c86,2.573567262158945
1c87,2.7653854443882966
1c88,1.8824872332677287
1cbx,3.330384548261977
1ceb,2.905482654266941
1cet,3.811762506731083
1cgl,4.8150427570937095
1ciz,6.0775427438299765
1cnw,3.6815791240537328
1cnx,3.6846738587465024
1cny,3.999878599603138
1ctt,4.143354880169486
1ctu,5.173051741546392
1d2e,5.7206207212096825
1d3d,6.0473008143047275
1d3p,6.2799090551372885
1d4h,8.079076437347526
1d4i,7.82078921358373
1d4j,8.369388146177286
