,0
184l,5.148951787265258
185l,5.0385377010612205
186l,5.3880375749818175
187l,4.613765908230799
188l,4.822352273332099
1a28,7.788894402834518
1a4k,6.808213826980025
1a4r,5.968937089740679
1a4w,5.673070272298549
1a94,5.869456798406557
1a99,3.183961075911966
1a9m,6.363450428022419
1a9q,4.3169520058477575
1aaq,6.534214599277729
1add,6.448691570063963
1adl,3.952937390709385
1ado,3.677696950135858
1afk,3.621796905257466
1afl,3.803923647652103
1ai4,4.743523889590614
1ai7,4.064371306931037
1aid,6.1347881704310225
1ajn,4.237019155989803
1ajv,8.885697105262555
1ajx,8.554041808498589
1alw,4.441129950194186
1amw,4.392586600933256
1apv,5.751158614778967
1atl,4.292942633176556
1atr,6.6658440176829
1azm,3.170037038706452
1b05,5.81017585614124
1b0h,7.781807353631178
1b1h,6.706631622612344
1b32,5.789633066163657
1b38,6.470462632682788
1b3f,5.809100418108262
1b3g,5.842759355256828
1b3h,6.609193089729126
1b3l,5.2458894982742565
1b40,7.092333014006631
1b46,5.383832000234968
1b4h,5.587209747897198
1b4z,5.5359136270077896
1b51,5.528209643596265
1b52,5.620283227072691
1b57,3.1336228817777863
1b58,6.779929981580675
1b5h,5.305090351008014
1b5i,5.831279272839754
1b5j,6.504659113979872
1b6h,5.329050410910874
1b6j,7.556844602873227
1b6k,7.058211376201924
1b6l,6.576848110528493
1b8n,7.465563521049719
1b8y,7.983654656795095
1bai,6.099615925845481
1bcd,3.0871440238042287
1bdq,7.209668024839808
1bgq,6.2982442593653225
1bhf,2.833104051654143
1bhx,5.966322463810745
1bju,5.632114444379233
1bjv,6.344396813701557
1bm7,6.266244119807134
1bn1,5.200213983767935
1bn3,5.032634158298075
1bn4,4.716294498067501
1bnn,4.827041183155884
1bnq,4.277050981540623
1bnt,4.809174572634674
1bnu,5.241726941048727
1bnv,4.747851871918453
1bnw,4.506567644047324
1bp0,4.425272922416877
1bq4,3.5143247978285217
1br6,6.086098631544797
1bty,4.586566593999013
1bv7,8.035168663178663
1bv9,5.614522726311331
1bwa,8.666879914542161
1bwb,6.078407938099207
1bxq,5.621390491076727
1bxr,7.56088055568642
1bzy,7.208071130511816
1c1r,6.003005567681642
1c1u,6.439366910280138
1c1v,7.302520120531327
1c3x,3.3334969747361547
1c4u,6.3583498789905635
1c5c,5.817550038555986
1c5n,5.065675112030619
1c5o,4.366659276335923
1c5p,4.9184932858568295
1c5q,5.630645203671414
1c5s,5.1095949520896085
1c5t,5.399741488404131
1c5x,5.086356397442693
1c5y,5.482088915231087
1c70,6.7833552954327025
1c83,4.178770284500199
1c86,3.7315360010863343
1c87,3.929116175976961
1c88,2.4836251618902865
1cbx,4.553198637157254
1ceb,4.214939276530939
1cet,4.625881111125236
1cgl,4.968244972810098
1ciz,6.710248591762607
1cnw,4.219942598969893
1cnx,3.4237956482882352
1cny,4.493725689857755
1ctt,5.965673353895556
1ctu,6.40606785141968
1d2e,5.7206207212096825
1d3d,7.173329061139464
1d3p,7.171994468770735
1d4h,8.861264552097074
1d4i,8.243686829770557
1d4j,9.266075515563532
1d4k,7.539276666849632
1d4l,6.838610776963199
1d4p,7.550073714964785
1d4y,8.362096928900767
1d6v,8.187252738103107
1d6w,5.740437459364026
1d7i,1.5141994385038493
1d9i,5.398216989416894
1dar,5.971760857766131
1dgm,3.9039768064652542
1dhj,5.816989761571
1dif,7.188872725509441
1dl7,4.908170129948077
1dmp,9.283405631144062
1dqn,6.572665268618113
1drj,5.323854034229902
1drk,4.796369340719403
1dud,5.032953467216485
1duv,5.364463623562992
1dy4,6.908175354975407
1dzk,4.258688095712488
1e1x,4.592904159070751
1e2k,6.916306715712558
1e2l,6.430307350343141
1e3g,7.210114987378392
1e4h,4.69379458573787
1e5j,2.828939396012938
1e6q,3.716098656443845
1e6s,5.050561273137888
1eb2,6.712624697777584
1ebw,7.216882377927376
1ebz,7.814178213291791
1ec0,9.37086200066557
1ec1,7.981966831121223
1ec2,8.104612932025558
1ec3,7.364673793854493
1ec9,4.482214480941515
1ecq,3.84315108052785
1ecv,3.9883831288044522
1efy,6.949206376123046
1ejn,6.268676883045311
1elc,4.370705021755596
1eld,5.043423861958371
1ele,4.21669600018611
1elr,2.1766264241650104
1enu,6.129723993937519
1eoc,4.59197805828658
1epo,6.356226981800262
1erb,6.676516559801391
1ew9,1.7423706668275047
1ex8,9.16132820088741
1ez9,4.525407919441318
1ezq,7.666930287024267
1f0r,7.572203606663884
1f0s,7.035067250260344
1f0t,7.107568211272515
1f0u,6.834446121321995
1f3e,5.837754633874091
1f4x,4.394496508932637
1f57,2.2566822062078726
1f5l,5.622188238768832
1f73,3.8321305511434036
1f74,3.32052666745452
1f8e,4.175389387113271
1fao,2.6729704542038397
1fch,3.0288248553895416
1fcy,10.978718452139928
1fhd,5.774425498037482
1fiv,8.501221888093836
1fjs,6.458926242778458
1fkf,4.505151213467305
1fkg,6.021471625613754
1fkh,4.339463809199541
1fkw,6.20633645072715
1fl3,7.832696731615755
1fm9,9.356680907539976
1fpc,5.723194078298025
1fq5,5.740563014568527
1ft7,3.251069108641691
1fv0,6.2134955455353005
1fzj,3.7383855795825536
1fzm,6.626096527455922
1fzo,5.642427807681506
1fzq,5.254261127606092
1g1d,5.178096682562883
1g2l,7.512372879491949
1g2o,7.711387321495826
1g30,6.474065612395224
1g32,7.664654205489756
1g35,7.5646940764381565
1g36,7.607969702885196
1g3d,4.65644733330612
1g3e,5.244256231407913
1g45,5.628037922196341
1g46,5.002064089021789
1g48,5.457203454015946
1g4o,4.779679241919474
1g52,5.57280552323826
1g53,5.399309914247156
