,0
184l,5.094675216646731
185l,5.108140050555563
186l,5.381345027925209
187l,4.565700997743564
188l,4.830301771377495
1a28,8.417541267841932
1a4k,6.645746791300119
1a4r,6.807039413674419
1a4w,5.576436132090405
1a94,6.680025810280385
1a99,2.9086337259559363
1a9m,6.737690273004751
1a9q,4.26767595978062
1aaq,6.5586793281502125
1add,6.859133282255932
1adl,4.993721138037499
1ado,3.357827055269549
1afk,3.9963354247374134
1afl,2.7111203506309347
1ai4,5.087039431744614
1ai7,4.1116374205183295
1aid,5.482288614456072
1ajn,4.502072837673395
1ajv,9.669284688398758
1ajx,9.414471275204791
1alw,4.558555542637295
1amw,4.379860059605764
1apv,6.404680798659097
1atl,4.8290378256697934
1atr,7.059441047786947
1azm,3.246370755947373
1b05,5.835283749417835
1b0h,7.619790078377421
1b1h,7.202857966505451
1b32,6.174683948698972
1b38,6.84981002141589
1b3f,6.418014831324243
1b3g,6.187103771602099
1b3h,7.195126004218269
1b3l,5.4295603248690885
1b40,6.961269468361577
1b46,6.4814723202529185
1b4h,5.865563537859204
1b4z,6.2414366497078815
1b51,5.667999450822078
1b52,6.444522717591411
1b57,3.5221627301072442
1b58,7.293610247579084
1b5h,5.321666086153703
1b5i,6.055672303742186
1b5j,6.302201871326682
1b6h,6.395954886814283
1b6j,8.69962639060844
1b6k,8.570081398439545
1b6l,8.570811647094132
1b8n,7.26724785146532
1b8y,8.571768524641524
1bai,6.144603160010696
1bcd,3.254986500969297
1bdq,7.414219486335753
1bgq,5.643203871744979
1bhf,4.565669171772506
1bhx,5.641135183626258
1bju,4.3617993456347
1bjv,3.9244094296199465
1bm7,5.542240000529267
1bn1,5.099103922926927
1bn3,4.562393894641176
1bn4,4.788243226021436
1bnn,4.8735994311891115
1bnq,4.708767830780436
1bnt,5.433415813934308
1bnu,5.04254392631903
1bnv,4.842797137244891
1bnw,4.524418166715033
1bp0,5.914378282213986
1bq4,6.313298992883233
1br6,7.012357496363302
1bty,2.6794615533557335
1bv7,10.090730492385724
1bv9,9.790590601159229
1bwa,9.910208688245831
1bwb,10.767227530009723
1bxq,7.280959598951804
1bxr,5.937217438410929
1bzy,8.10508437608034
1c1r,5.1445013973564295
1c1u,5.7822851139448375
1c1v,5.618446763621905
1c3x,2.801228942696536
1c4u,5.69350394466108
1c5c,6.078598893925551
1c5n,3.5919378491587546
1c5o,2.603223314027984
1c5p,2.965424723155958
1c5q,4.146331226330176
1c5s,3.782297375714791
1c5t,3.6282614244774885
1c5x,3.550926413224074
1c5y,3.587960651984437
1c70,9.007662620016587
1c83,6.042234049765226
1c86,5.194859526439514
1c87,5.199631673418371
1c88,5.4133206859672
1cbx,5.9435378664213285
1ceb,4.624220914591074
1cet,3.980775672513935
1cgl,5.568385910092651
1ciz,9.563646246533033
1cnw,3.6836354664935707
1cnx,4.292361372034828
1cny,3.89025211874878
1ctt,7.056946731022331
1ctu,7.723761678726015
1d2e,6.557815480364373
1d3d,7.310384982477867
1d3p,7.178411423902144
1d4h,9.537819645888057
1d4i,10.241610776185121
1d4j,9.465816009390648
1d4k,9.408087195252275
1d4l,8.97559673010061
1d4p,7.273166083138183
1d4y,8.032398055016957
1d6v,7.761931160366069
1d6w,7.239141671926376
1d7i,1.7573627976111377
1d9i,4.9164364887602625
1dar,5.70532397041736
1dgm,3.44953726309841
1dhj,7.324629727545575
1dif,8.451664304590421
1dl7,4.198727616504706
1dmp,9.791036864225923
1dqn,6.991802115891676
1drj,6.049291721149128
1drk,5.898361075373552
1dud,4.831846205313635
1duv,6.897318851749486
1dy4,6.917891719018399
1dzk,3.818246733571643
1e1x,4.92083826537264
1e2k,6.294065614286291
1e2l,7.186562369852253
1e3g,8.824505205790018
1e4h,4.664389836632602
1e5j,5.411363563615153
1e6q,4.637669310910458
1e6s,5.148360733517052
1eb2,5.729287527679676
1ebw,7.9185296268773975
1ebz,8.66363156707865
1ec0,10.429446258421157
1ec1,8.061868904215958
1ec2,8.212559631132795
1ec3,7.473007300917657
1ec9,5.388939543985737
1ecq,3.529281955017587
1ecv,5.866749842186964
1efy,6.858226766684719
1ejn,5.151087974421496
1elc,3.8620892819866355
1eld,5.285469115247308
1ele,5.210094373969452
1elr,4.08283246855991
1enu,6.2065462922945605
1eoc,4.526957249680698
1epo,7.687893459608562
1erb,6.428242509319824
1ew9,1.9978571468489394
1ex8,9.076593476495216
1ez9,5.170274488401716
1ezq,7.597441251976327
1f0r,7.364931199510516
1f0s,6.773706080691283
1f0t,5.357754638916937
1f0u,6.014225796291075
1f3e,5.86919729433486
1f4x,4.20223267015235
1f57,1.68373726066562
1f5l,4.1395047304063715
1f73,5.456643876502852
1f74,4.682244905867604
1f8e,4.759929303330757
1fao,2.933918410753075
1fch,4.668791613244981
1fcy,12.22627623289881
1fhd,6.507552829194461
1fiv,8.316268929522126
1fjs,6.849351167855152
1fkf,9.326947056909821
1fkg,5.994149554065034
1fkh,3.497907493066226
1fkw,6.323593820180386
1fl3,7.277533585627884
1fm9,9.410016338728669
1fpc,5.554233845050551
1fq5,10.60296145262522
1ft7,3.1152799308985557
1fv0,5.893141616120165
1fzj,6.02330494144103
1fzm,7.250247187145623
1fzo,6.7822613213946035
1fzq,6.202852381236247
1g1d,5.115847531326545
1g2l,6.644119819680797
1g2o,7.821248475169737
1g30,5.975966782248926
1g32,6.954230682718742
1g35,8.864391890923379
1g36,5.667235627516705
1g3d,3.720896683882683
1g3e,3.6556600881983132
1g45,4.956330518348484
1g46,4.824502100190218
1g48,4.651601042306778
1g4o,4.907093992443208
1g52,4.9298698464339825
1g53,5.1685321039203185
1g54,5.2975643831928405
1g74,4.691065246417753
1g7f,5.545667762532915
1g7g,5.958348484249152
1g85,3.610186021596705
1gai,8.399292046196145
1gfy,5.241224720230724
1ghv,4.874538821939218
1ghw,4.869984560454522
1ghy,5.074745863517878
1ghz,4.598086546313897
1gi1,3.826834149981966
1gi4,5.215115882677582
1gi7,4.081432125833391
1gj6,6.780799425141645
1gjc,4.823782343614001
1gnm,5.802142771204825
1gnn,5.316828188817058
1gno,5.305823747286112
1grp,4.874816862016037
1gvw,6.61134816262643
1gvx,7.190633995731906
1gwv,5.05505188268047
1gx8,5.730547626291975
1gyx,4.41851217685086
1gyy,4.554066332038496
1h0a,2.537483798053721
1h1s,7.016429821714846
1h2k,4.038668862546779
1h2t,8.08854186584949
1h46,5.346472507045119
1h4w,2.8335118437668103
1h5v,5.827744491636727
1h6h,3.618135519642101
1hbv,6.506395203214247
1hdq,4.697859566634555
1hee,5.671576899810479
1hi3,3.883944281232424
1hi5,3.8182977950197126
1hih,7.515524000362561
1hii,7.87511060869263
1hlk,6.184992765433951
1hmr,4.773697708040442
1hms,4.81024616357225
1hmt,4.784174747765295
1hn4,6.550427658247745
1hos,7.08510187359367
1hp5,4.537903285308714
1hpo,8.451059960876279
1hps,7.658731776985545
1hpv,6.969080470972481
1hpx,6.460437102063812
1hsh,8.191527910303146
1hsl,4.775812561303992
1hvh,7.346471436825428
1hvi,7.779678860665746
1hvj,7.416149329284036
1hvk,8.107993479676537
1hvl,7.569393828076257
1hvr,11.139929935774829
1hvs,7.3931388024737075
1hwr,7.195389705121316
1hxb,8.583023726845525
1hxw,7.42098827582852
1i1e,5.599003893193498
1i2s,4.330481890642486
1i37,8.0734612518716
1i5r,10.999678127364767
1i7z,6.4532353394702895
1i9n,4.053312306592566
1i9p,4.42796449025486
1ie9,9.89927594258375
1if8,4.648598209477136
1igb,4.910594149787612
1ii5,4.763369306092503
1iiq,8.072712117475943
1ik4,3.753660996482191
1ikt,5.273630203749961
1ivp,7.319032553470849
1iy7,6.257718956395142
1izh,7.638839495866934
1izi,7.218829707672944
1j01,5.5356537732001465
1j14,2.724833671929175
1j36,6.00172623359233
1j37,4.452729642304685
1j4r,5.84291323907293
1jak,5.5794756871943445
1jao,5.241637058910685
1jet,5.836204604162821
1jeu,6.345951739716068
1jev,7.313103829719614
1jgl,9.524457634347257
1jlr,4.9879001329575345
1jmf,4.691051956451817
1jmg,3.461496833497018
1jn4,6.737642009444247
1jq8,3.439437588458949
1jqy,4.440373121607727
1jsv,4.4177829774041095
1jvu,4.394961657740396
1jzs,5.8482841339907985
1k1j,5.65759165881447
1k1l,5.689071391285481
1k1m,5.38246733057491
1k1n,4.692859042083166
1k1o,4.953551516524079
1k1y,8.25057173159729
1k21,5.640045056683562
1k22,6.747087677865279
1k27,7.156685127484366
1k4h,5.905049425598812
1k6c,8.081883592915558
1k6p,8.093726351508307
1k6t,8.264159672559002
1k6v,8.410005157684335
1kav,6.743220297777905
1kdk,8.958208558353096
1kjr,5.345150155434489
1km3,4.070237427947994
1kmy,5.163001029939327
1koj,4.159555441908377
1kpm,5.243394831773693
1kug,7.257109006399942
